Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年3月22日,91.8,7.3,5.875712723,-22.00%,13.2079641,-44.00%,37.13916885,-24.00%,54.44083925,-50.00%
2013年3月25日,91.9,6.73,4.478749826,-33.00%,13.05970601,-45.00%,26.75910527,-35.00%,54.13926908,-50.00%
2013年3月26日,91.75,6.76,4.478749826,-33.00%,13.27376221,-44.00%,25.31745955,-37.00%,46.38911482,-57.00%
2013年3月27日,90.95,8.05,5.383307533,-26.00%,13.58828152,-43.00%,20.83641592,-41.00%,37.61386762,-64.00%
2013年3月28日,90.65,7.41,8.085097402,-5.00%,12.74515078,-46.00%,21.05380092,-41.00%,35.65899692,-66.00%
2013年4月1日,87.05,21.89,28.07769221,151.00%,20.56358368,-16.00%,144.2225629,85.00%,84.09827156,-26.00%
2013年4月2日,86.9,22.04,32.71997555,187.00%,26.03854835,5.00%,192.2339568,134.00%,122.4456544,6.00%
2013年4月3日,87.65,23.36,28.31898303,153.00%,28.53843807,15.00%,181.0708005,123.00%,140.5516923,21.00%
2013年4月4日,88.05,23.24,21.5823261,101.00%,29.95580824,20.00%,136.5858632,77.00%,146.7969831,26.00%
2013年4月5日,88.4,23.43,9.08321529,3.00%,30.77319408,24.00%,130.840095,72.00%,146.7991978,26.00%
2013年4月8日,88.5,23.43,9.24272687,4.00%,31.3586037,26.00%,153.6177822,95.00%,146.5657826,26.00%
2013年4月9日,88.3,23.41,4.83065213,-30.00%,31.96644128,28.00%,140.4760575,81.00%,147.37679,27.00%
2013年4月10日,88.5,23.47,2.656313235,-47.00%,31.80838519,28.00%,104.0620102,44.00%,148.5063954,28.00%
2013年4月11日,88.8,23.72,2.656313235,-47.00%,31.21850539,25.00%,46.70489237,-15.00%,148.6771717,28.00%
2013年4月12日,89.4,5.78,6.107045112,-20.00%,30.20580852,21.00%,39.00872403,-23.00%,147.0202125,26.00%
