Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年3月22日,28.74,13.04,2.287806316,-42.00%,3.496018838,-90.00%,9.359785118,-47.00%,21.54584107,-34.00%
2013年3月25日,28.8375,12.85,2.332580545,-40.00%,3.484713206,-91.00%,8.992992268,-49.00%,20.02036481,-42.00%
2013年3月26日,28.765,12.86,2.469238749,-35.00%,2.95279479,-102.00%,9.694095855,-45.00%,18.69603208,-48.00%
2013年3月27日,28.675,11.61,2.765310109,-24.00%,2.980898314,-101.00%,3.26204365,-82.00%,17.97346593,-52.00%
2013年3月28日,28.3375,13.12,2.772886222,-24.00%,3.331970466,-94.00%,3.296324203,-82.00%,16.4472194,-59.00%
2013年3月29日,28.32,12.65,3.446761088,2.00%,3.730993584,-86.00%,6.103039428,-66.00%,14.32324467,-70.00%
2013年4月1日,28.035,13.2,4.193214519,31.00%,4.596801591,-67.00%,9.85727884,-44.00%,11.77272698,-82.00%
2013年4月2日,27.285,18.32,7.4431977,154.00%,7.077218807,-16.00%,27.63447064,57.00%,21.06846025,-36.00%
2013年4月3日,27.005,14.78,8.728727742,203.00%,9.247045641,30.00%,37.15706904,112.00%,29.81843295,7.00%
2013年4月4日,26.9563,14.64,8.819806718,207.00%,10.90855941,64.00%,36.11470439,106.00%,36.11407823,38.00%
2013年4月5日,27.3275,17.75,6.123501448,104.00%,11.55642326,78.00%,27.60876473,57.00%,37.44311083,44.00%
2013年4月8日,27.305,17.88,2.54965602,-32.00%,12.03502239,88.00%,36.69307771,109.00%,37.23460597,43.00%
2013年4月9日,27.985,24.29,5.827994528,93.00%,11.73613639,82.00%,36.55050482,108.00%,37.22489534,43.00%
2013年4月10日,27.635,24.38,5.498547552,80.00%,11.54301327,78.00%,31.64865998,80.00%,36.81780099,41.00%
2013年4月11日,27.6525,24.43,3.963432603,22.00%,11.50234698,77.00%,21.36878431,21.00%,36.12797116,38.00%
2013年4月12日,26.0013,40.14,10.97779564,289.00%,13.59578561,120.00%,45.36459648,158.00%,43.04360323,72.00%
2013年4月15日,22.7675,78.27,30.9124264,1048.00%,22.7532887,311.00%,159.075475,808.00%,100.835989,357.00%
2013年4月16日,23.4025,82.35,32.77115652,1119.00%,26.96654139,399.00%,198.353069,1033.00%,136.184535,532.00%
2013年4月17日,23.335,82.29,29.84123916,1007.00%,30.11511343,465.00%,188.2679611,975.00%,154.4497121,622.00%
2013年4月18日,23.265,80.8,18.18552672,563.00%,32.15698449,508.00%,134.844686,670.00%,155.7248875,628.00%
2013年4月19日,23.25,80.82,3.570405859,7.00%,33.81129199,542.00%,174.6999596,897.00%,155.0281748,625.00%
2013年4月22日,23.4427,78.47,1.192151908,-84.00%,34.50705648,557.00%,206.3944281,1079.00%,155.7558175,628.00%
2013年4月23日,22.96,78.35,2.546677116,-32.00%,35.23515144,572.00%,178.1135245,917.00%,155.7113547,628.00%
2013年4月24日,23.1873,79.31,2.471376708,-35.00%,35.1913268,571.00%,100.6635814,474.00%,155.8773038,629.00%
2013年4月25日,24.3965,82.9,7.921332915,173.00%,34.146847,549.00%,36.77821566,109.00%,154.0464924,620.00%
2013年4月26日,24.0025,35.66,8.40317604,191.00%,32.9633802,525.00%,48.05164121,174.00%,152.3965105,612.00%
2013年4月29日,24.5595,34.83,10.17064571,258.00%,31.49843269,494.00%,50.58950481,188.00%,150.8743713,604.00%
2013年4月30日,24.3345,35.48,7.76551548,167.00%,30.61966895,476.00%,41.00738881,134.00%,150.7989924,604.00%
2013年5月1日,23.639,39.79,5.210830844,69.00%,30.07890002,464.00%,25.25895858,44.00%,151.7817533,609.00%
2013年5月2日,23.845,39.92,5.266542099,71.00%,29.23259256,447.00%,30.24818769,72.00%,152.6946417,613.00%
2013年5月3日,24.1175,40.09,5.236079304,70.00%,27.60243835,413.00%,31.42328111,79.00%,153.0133283,615.00%
2013年5月6日,24.0175,37.79,3.756032684,14.00%,25.6550927,372.00%,20.53613238,17.00%,152.3271942,611.00%
2013年5月7日,23.967,37.84,2.611038552,-30.00%,21.87269856,293.00%,16.98075357,-4.00%,153.8560934,619.00%
2013年5月8日,23.972,24.91,1.396565186,-76.00%,17.68140125,206.00%,23.86193095,36.00%,155.9791371,629.00%
2013年5月9日,23.7385,23.92,1.974274449,-54.00%,11.27098619,72.00%,21.70331213,23.00%,157.0504222,635.00%
2013年5月10日,23.8825,19.73,1.566139074,-69.00%,7.774509258,-1.00%,13.60018355,-23.00%,159.3753308,646.00%
2013年5月13日,23.6772,19.67,1.903466319,-57.00%,6.947596058,-18.00%,6.642845174,-63.00%,139.8433199,550.00%
2013年5月14日,23.418,13.3,3.026436452,-14.00%,6.937536407,-19.00%,9.014644006,-49.00%,106.5133493,385.00%
2013年5月15日,22.6048,21.41,7.226954675,146.00%,7.930507751,2.00%,33.35994007,90.00%,63.20121382,172.00%
2013年5月16日,22.696,19.79,8.199046327,183.00%,8.587610113,16.00%,44.09190511,151.00%,43.445706,74.00%
2013年5月17日,22.255,20.85,8.437678536,192.00%,9.884997347,43.00%,43.54136392,148.00%,45.25933288,83.00%
2013年5月20日,22.915,29.12,6.10134785,103.00%,10.19425144,49.00%,31.22566908,78.00%,43.46043507,74.00%
2013年5月21日,22.445,30.06,3.550330132,6.00%,10.77655978,62.00%,28.2397682,61.00%,42.86386719,71.00%
2013年5月22日,22.293,30.02,3.980526438,22.00%,11.64519549,80.00%,32.41902873,84.00%,42.00279387,67.00%
2013年5月23日,22.6085,31.43,3.822044835,16.00%,11.62807697,79.00%,29.6134604,68.00%,41.02111827,62.00%
2013年5月24日,22.4,31.45,3.438982687,2.00%,12.00240164,87.00%,15.56200734,-12.00%,39.36380694,54.00%
2013年5月27日,22.6775,32.75,2.222400486,-44.00%,11.36955798,74.00%,9.852306843,-44.00%,34.87658649,32.00%
2013年5月28日,22.342,27.77,2.404171026,-38.00%,11.1040681,68.00%,11.53245666,-35.00%,33.1195841,23.00%
2013年5月29日,22.4905,27.97,1.986081751,-53.00%,11.21611176,71.00%,11.45265796,-35.00%,33.59157688,25.00%
2013年5月30日,22.7833,26.35,2.650105501,-28.00%,10.93311469,65.00%,7.925933287,-56.00%,33.47514894,25.00%
2013年5月31日,22.2725,23.97,3.075803876,-12.00%,10.5316291,56.00%,5.936412294,-67.00%,33.11917017,23.00%
2013年6月3日,22.7375,24.43,3.255710338,-5.00%,9.802412872,41.00%,7.262280128,-59.00%,33.14734668,23.00%
2013年6月4日,22.5487,24.62,2.916524101,-18.00%,9.034427236,25.00%,7.026395359,-61.00%,33.04438316,23.00%
2013年6月5日,22.5725,23.38,2.854652153,-20.00%,8.01226932,4.00%,3.248906589,-82.00%,32.16104294,18.00%
2013年6月6日,22.655,22.77,2.494201464,-34.00%,7.147883602,-14.00%,4.032007272,-78.00%,31.852307,17.00%
2013年6月7日,21.67,32.27,6.176591505,106.00%,6.64653437,-25.00%,21.27960193,21.00%,31.85317106,17.00%
2013年6月10日,21.923,32.78,6.340828549,112.00%,5.741850113,-44.00%,27.35546245,56.00%,31.89712865,17.00%
2013年6月11日,21.67,32.67,6.855112463,132.00%,5.44205592,-50.00%,29.68970088,69.00%,32.84645777,22.00%
2013年6月12日,21.7978,31.68,5.843392813,93.00%,5.834105321,-42.00%,24.740828,41.00%,31.67365389,16.00%
2013年6月13日,21.861,29.95,1.610019353,-68.00%,5.999317311,-38.00%,30.25341073,72.00%,29.67351056,6.00%
2013年6月14日,22.09,27.86,2.205235896,-45.00%,6.060747014,-37.00%,35.01953312,99.00%,25.46822931,-15.00%
2013年6月17日,21.875,27.96,2.166008417,-47.00%,5.86796143,-41.00%,34.41355549,96.00%,24.38842205,-20.00%
2013年6月18日,21.6807,27.96,2.119580079,-48.00%,6.209866602,-34.00%,24.48622413,39.00%,24.84372973,-18.00%
2013年6月19日,21.4115,27.78,3.60090733,8.00%,6.87659056,-20.00%,10.57718305,-40.00%,24.77059321,-18.00%
2013年6月20日,19.7098,46.35,13.51957936,386.00%,11.04562309,67.00%,70.38479501,301.00%,42.91779236,71.00%
2013年6月21日,20.1225,48,13.8843277,400.00%,12.91222908,106.00%,86.54790438,394.00%,55.04591096,131.00%
2013年6月24日,19.687,48.46,13.56372349,387.00%,14.87498295,147.00%,84.30880985,381.00%,62.80724582,170.00%
2013年6月25日,19.6505,47.77,10.63495319,276.00%,16.53751424,182.00%,61.93575269,253.00%,64.97847952,180.00%
2013年6月26日,18.5403,52.79,8.404010727,191.00%,19.57354258,245.00%,34.12061155,94.00%,64.53758842,178.00%
2013年6月27日,18.494,50.93,10.47212081,270.00%,21.55710441,287.00%,32.74573354,86.00%,65.53323285,183.00%
2013年6月28日,19.676,67.42,8.979636404,213.00%,21.88891458,293.00%,28.45955613,62.00%,65.28355244,182.00%
2013年7月1日,19.6375,67.62,8.851577792,208.00%,21.61224578,288.00%,14.41102094,-18.00%,64.76185837,179.00%
2013年7月2日,19.4095,67.61,8.351053189,189.00%,21.43050749,284.00%,12.22488954,-31.00%,63.50547869,173.00%
2013年7月3日,19.7852,53,7.452186473,155.00%,20.65423664,268.00%,15.62941909,-11.00%,61.74059621,164.00%
2013年7月4日,19.5563,51.82,1.99348907,-53.00%,19.601021,246.00%,41.61629154,137.00%,62.24130581,167.00%
2013年7月5日,18.9238,53.42,4.690724546,50.00%,19.87198334,251.00%,40.89066394,133.00%,62.74473078,169.00%
2013年7月8日,19.1058,53.95,4.90104337,58.00%,19.47358134,243.00%,35.67093717,103.00%,63.15395674,171.00%
2013年7月9日,19.3075,42.61,4.887830151,57.00%,18.96226244,232.00%,27.43980654,56.00%,63.57810966,173.00%
2013年7月10日,19.3875,42.41,3.499897416,4.00%,18.03454768,213.00%,17.89425996,1.00%,64.58097242,178.00%
2013年7月11日,20.1637,33.33,6.745358001,128.00%,16.66000789,184.00%,16.49645829,-7.00%,61.77463464,164.00%
2013年7月12日,19.94,34.1,6.375467113,114.00%,14.5434084,140.00%,18.53103096,5.00%,59.29200281,152.00%
2013年7月15日,19.9795,33.14,5.439058573,78.00%,12.35355666,94.00%,18.28700406,4.00%,56.7807801,140.00%
2013年7月16日,20.0174,31.71,4.223147979,32.00%,10.02248194,46.00%,19.64284455,11.00%,54.7369907,130.00%
2013年7月17日,19.3408,36.69,4.508240324,43.00%,7.50746388,-7.00%,15.75707511,-11.00%,54.00280661,126.00%
2013年7月18日,19.4035,31.3,4.745565708,52.00%,7.484388504,-7.00%,12.25066449,-31.00%,50.22012786,107.00%
2013年7月19日,19.5175,31.1,4.586941792,46.00%,7.123257316,-15.00%,6.449130307,-64.00%,44.4331553,79.00%
2013年7月22日,20.551,40.9,7.286314349,148.00%,8.06093768,5.00%,17.79557738,1.00%,36.8066189,41.00%
2013年7月23日,20.4908,41.23,8.609353697,199.00%,8.763483054,19.00%,26.79466626,52.00%,34.42655786,30.00%
2013年7月24日,20.1777,37.24,7.648592181,162.00%,8.138208982,6.00%,25.69157335,46.00%,33.92663551,27.00%
2013年7月25日,20.2507,36.63,5.839615943,93.00%,7.180552509,-14.00%,22.50618393,28.00%,30.17640799,9.00%
2013年7月26日,20.0025,37.4,3.215523417,-7.00%,7.240610485,-12.00%,29.79069947,69.00%,29.54173876,5.00%
2013年7月29日,19.8721,37.54,3.372377641,-1.00%,7.2412658,-12.00%,34.68092327,97.00%,28.21148229,-1.00%
2013年7月30日,19.7432,32.03,2.980958624,-16.00%,7.123486344,-15.00%,29.16336569,66.00%,27.28072245,-6.00%
2013年7月31日,19.8503,32.07,2.765599811,-24.00%,7.128369095,-15.00%,17.80337091,1.00%,27.11577396,-7.00%
2013年8月1日,19.625,32.82,2.018654103,-52.00%,7.104022041,-15.00%,7.512413028,-58.00%,27.08172072,-7.00%
2013年8月2日,19.8963,15.38,1.600400901,-68.00%,6.342832383,-31.00%,10.2695961,-42.00%,29.41694733,5.00%
2013年8月5日,19.7135,15.66,1.543033064,-70.00%,5.76126569,-43.00%,9.397229716,-47.00%,31.44215729,15.00%
2013年8月6日,19.5269,14.59,2.181065413,-46.00%,5.529407289,-48.00%,7.047310705,-61.00%,32.5008732,20.00%
2013年8月7日,19.5897,14.52,2.033601264,-52.00%,5.337430521,-52.00%,4.047675748,-78.00%,33.42890324,25.00%
2013年8月8日,20.2622,23.78,4.195007961,31.00%,5.417090526,-50.00%,15.45306923,-12.00%,32.30651759,19.00%
2013年8月9日,20.5475,24.1,6.416162006,115.00%,5.902585769,-40.00%,28.79443113,64.00%,32.34040741,19.00%
2013年8月12日,21.406,30.26,10.95802487,288.00%,7.925340935,2.00%,52.54179772,199.00%,39.67887374,55.00%
2013年8月13日,21.4671,30.39,11.27921116,300.00%,9.506568837,35.00%,58.04462869,231.00%,45.98558345,87.00%
2013年8月14日,21.875,28.15,9.618223575,237.00%,11.08296563,68.00%,43.70044103,149.00%,48.76653896,100.00%
2013年8月15日,22.9907,34.73,12.61265886,351.00%,14.50100962,139.00%,33.45978503,90.00%,55.13512055,132.00%
2013年8月16日,23.255,31.46,12.31973748,340.00%,17.37781499,199.00%,16.93761148,-4.00%,59.75197886,155.00%
2013年8月19日,23.1735,29.86,11.68317538,316.00%,19.70762349,248.00%,16.69969389,-5.00%,62.86950848,170.00%
2013年8月20日,23.015,32.01,7.986700804,175.00%,21.34517863,282.00%,28.10895937,60.00%,62.59825026,169.00%
2013年8月21日,22.8853,32.67,2.108129624,-49.00%,22.41498902,304.00%,63.18411039,260.00%,63.80940368,175.00%
2013年8月22日,23.1255,32.71,2.045051823,-51.00%,23.52524557,328.00%,70.78892434,304.00%,65.14356807,181.00%
2013年8月23日,24.0675,32.43,6.651526363,124.00%,25.38223062,366.00%,58.28914073,232.00%,64.61035334,178.00%
2013年8月26日,24.3175,31.91,9.370270359,228.00%,26.9358487,399.00%,48.06730429,174.00%,65.07992473,181.00%
2013年8月27日,24.4712,31.99,10.23372895,261.00%,28.01396568,421.00%,55.20245998,215.00%,65.51052169,183.00%
2013年8月28日,24.357,23.67,7.766018392,167.00%,28.51715238,432.00%,45.51716585,159.00%,64.20863782,176.00%
2013年8月29日,23.877,27.23,3.421409314,1.00%,27.84947712,418.00%,37.83072724,115.00%,63.0850488,171.00%
2013年8月30日,23.5225,28.76,5.652623739,86.00%,26.84308495,397.00%,39.44209643,125.00%,60.37546197,158.00%
2013年9月2日,24.1405,30.92,5.431029412,78.00%,25.59813083,371.00%,36.80832176,110.00%,57.3682133,143.00%
2013年9月3日,24.2753,30.21,4.815903597,54.00%,23.51770595,327.00%,22.35692227,27.00%,55.14605078,132.00%
2013年9月4日,23.4925,36.65,5.021935988,62.00%,20.23454574,259.00%,12.4017804,-30.00%,52.43221103,118.00%
2013年9月5日,23.186,28.98,6.587597116,122.00%,17.40059583,200.00%,9.804831658,-45.00%,51.18238551,112.00%
2013年9月6日,23.8575,33.27,6.413946311,115.00%,14.50371005,139.00%,11.44891764,-35.00%,51.18303124,112.00%
2013年9月9日,23.712,32.92,5.780867254,91.00%,12.61694612,100.00%,11.32018873,-36.00%,50.02280338,107.00%
2013年9月10日,22.9765,36.22,5.169704525,68.00%,10.41025749,54.00%,10.04023826,-43.00%,48.40033809,99.00%
2013年9月11日,23.1995,36.15,5.364833559,75.00%,8.507533773,14.00%,8.87882175,-50.00%,47.77247816,95.00%
2013年9月12日,21.7975,48.14,11.59956101,313.00%,10.46135485,55.00%,38.17770248,117.00%,46.33201227,88.00%
2013年9月13日,22.221,46.7,10.90844458,286.00%,11.42790912,75.00%,45.46778404,159.00%,44.42031885,79.00%
2013年9月16日,21.8165,46,9.27551665,224.00%,12.84362603,105.00%,43.13827105,146.00%,41.71625897,66.00%
2013年9月17日,21.75,44.36,8.699843543,202.00%,14.09135178,131.00%,34.51486603,96.00%,42.09049372,67.00%
2013年9月18日,22.954,55.37,7.23303377,146.00%,14.06322908,130.00%,24.80925646,41.00%,38.77924897,51.00%
2013年9月19日,23.0713,52.65,8.825895664,207.00%,14.07631368,130.00%,18.72921522,6.00%,35.06235665,33.00%
2013年9月20日,21.7828,60.12,9.586002008,236.00%,14.85325599,147.00%,12.85965384,-27.00%,35.93129898,37.00%
