Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2013年11月5日,3.466,37.11,1.057437658,0.00%,1.818878683,-24.00%,2.263597315,-62.00%,4.540877337,-45.00%
2013年11月6日,3.498,37.69,0.741636892,-41.00%,1.89080667,-18.00%,2.5161271,-55.00%,4.145539859,-53.00%
2013年11月7日,3.519,35.16,0.450052797,-79.00%,1.909956222,-17.00%,3.428585974,-29.00%,4.088950699,-54.00%
2013年11月8日,3.559,30.13,0.634710391,-55.00%,1.84312395,-22.00%,3.560294226,-26.00%,4.134414737,-53.00%
2013年11月11日,3.574,27.52,0.626462066,-56.00%,1.686631124,-33.00%,3.18772022,-36.00%,4.181148238,-52.00%
2013年11月12日,3.617,20.65,0.664199729,-51.00%,1.542193916,-44.00%,1.519831946,-82.00%,4.207071672,-52.00%
2013年11月13日,3.566,21.29,0.497862632,-73.00%,1.40512074,-55.00%,1.341967037,-87.00%,4.2102162,-52.00%
2013年11月14日,3.605,18.68,0.360515631,-91.00%,1.257635676,-66.00%,1.802420016,-74.00%,4.187336686,-52.00%
2013年11月15日,3.66,13.82,0.533591304,-69.00%,1.099895344,-78.00%,1.693032386,-77.00%,4.003424406,-56.00%
2013年11月18日,3.617,17.06,0.476975471,-76.00%,1.056497476,-81.00%,1.553120803,-81.00%,4.137095566,-53.00%
2013年11月19日,3.556,20.34,0.594088478,-61.00%,1.057415081,-81.00%,1.223435454,-90.00%,3.954125782,-57.00%
2013年11月20日,3.674,26.29,0.666623492,-51.00%,1.107503009,-77.00%,1.653640287,-78.00%,3.69211879,-62.00%
2013年11月21日,3.702,26.06,0.808472337,-33.00%,1.183673461,-71.00%,1.826706234,-74.00%,3.588044584,-64.00%
2013年11月22日,3.768,27.02,1.14980541,12.00%,1.287632528,-64.00%,3.678516825,-22.00%,3.865101658,-58.00%
2013年11月25日,3.789,26.77,1.307828246,33.00%,1.483976043,-49.00%,4.405034614,-2.00%,4.316876452,-50.00%
2013年11月26日,3.818,24.07,0.85630574,-26.00%,1.641654022,-37.00%,3.734860104,-21.00%,4.160884968,-53.00%
2013年11月27日,3.895,24.96,1.002515077,-7.00%,1.933954846,-15.00%,2.939277851,-43.00%,4.066422089,-55.00%
2013年11月29日,3.954,24.95,1.103816072,6.00%,2.257530661,10.00%,2.38969683,-58.00%,4.07441949,-54.00%
2013年12月2日,3.988,21.73,1.211107394,20.00%,2.518386325,29.00%,2.503690053,-55.00%,4.355399746,-49.00%
2013年12月3日,3.976,16.59,0.997768069,-8.00%,2.610996416,36.00%,1.879908509,-72.00%,4.361246992,-49.00%
2013年12月4日,3.96,13.47,0.509727457,-72.00%,2.637461788,38.00%,3.820403841,-18.00%,4.345098076,-49.00%
2013年12月5日,4.132,22.74,1.049159664,-1.00%,2.894065865,57.00%,3.854822935,-17.00%,4.45778833,-47.00%
2013年12月6日,4.114,24.06,1.165668907,14.00%,3.040798081,69.00%,3.977602209,-14.00%,4.487807416,-46.00%
2013年12月9日,4.232,25.81,1.621078752,73.00%,3.328041202,90.00%,5.645563879,32.00%,5.235249192,-32.00%
2013年12月10日,4.237,26.41,1.601485311,71.00%,3.530799641,105.00%,6.500203448,56.00%,5.748461174,-22.00%
2013年12月11日,4.337,26.82,1.282620942,29.00%,3.831712933,128.00%,3.658524863,-23.00%,5.814528768,-20.00%
2013年12月12日,4.409,26.88,1.596801904,70.00%,4.078847171,147.00%,3.033353135,-40.00%,6.002035238,-17.00%
2013年12月13日,4.351,30.17,1.089985835,4.00%,4.170481983,154.00%,3.410020571,-30.00%,5.543843277,-26.00%
2013年12月16日,4.279,32.82,0.94469195,-15.00%,4.161761935,153.00%,4.197527093,-8.00%,5.25369771,-31.00%
2013年12月17日,4.287,32.25,0.749545782,-40.00%,4.044486914,144.00%,4.610966857,4.00%,4.954001041,-37.00%
2013年12月18日,4.251,25.96,0.906577564,-20.00%,3.719720325,120.00%,4.613127117,4.00%,4.690320833,-42.00%
2013年12月19日,4.46,34.79,1.186563981,17.00%,3.690740786,118.00%,2.401302055,-58.00%,4.450241502,-47.00%
2013年12月20日,4.418,33.88,1.326827796,35.00%,3.546802808,107.00%,3.280519367,-33.00%,4.372684018,-49.00%
2013年12月23日,4.463,33.92,1.418701491,47.00%,3.455643348,100.00%,4.010874501,-13.00%,4.483277164,-46.00%
2013年12月24日,4.416,33.1,1.236525325,23.00%,3.255715643,85.00%,2.75317326,-48.00%,4.457649726,-47.00%
2013年12月26日,4.433,31.98,0.318915663,-97.00%,3.025269032,67.00%,6.306858823,51.00%,5.216148433,-32.00%
2013年12月27日,4.407,31.18,0.312143044,-97.00%,2.812633289,51.00%,7.921867357,95.00%,5.906579574,-19.00%
2013年12月30日,4.427,29.2,0.303597628,-99.00%,2.636427673,38.00%,7.954914017,96.00%,6.488633302,-7.00%
2013年12月31日,4.23,39.5,1.219534206,21.00%,2.412795882,21.00%,7.12827181,73.00%,6.491473993,-7.00%
