Date,Price,Open,High,Low,Vol.,Change %,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,Vol2_5D_SD minus Vol_20D_SD,SPX_Price,SPX and HSI 比例,input1 動能差,input 5,SHComp_input 3 Price,SHComp_Vol.,SHComp_Change %,CNH input 2 Price,Change %,input 7 deviation,US10yT_input 4 Price,US10yT_Change %,label 1 N+1到N+5天短期(5D)vol of vol 的標準化平均減 N到N-4短期(5D)vol of vol 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 (Ken)
2013/1/21,23590.91,23565.96,23639.63,23535.47,1.1,-0.0005,-0.0004606646,0.0858184851,0.8024281588,,,0.1796734487,,,,,1485.98,15.87565782,91.19261348,15.88480144,2328.22,13.47,0.0048,,,,1.84,-0.0234,,-0.0226939583,-0.0136117848
2013/1/22,23658.99,23596.38,23685.55,23498.96,1.36,0.0029,0.0028817012,0.0820864273,0.3222445359,,,0.1805413449,-1.03342211,,,,1485.98,15.9214727,-68.08,15.88940903,2315.14,14.95,-0.0056,,,,1.84,-0.0234,,-0.0283765622,-0.0247116636
2013/1/23,23635.1,23700.45,23710.87,23540.42,1.54,-0.001,-0.0010102743,0.081984884,0.1683540275,,,0.1759567877,-0.7617205404,,,,1492.56,15.8352763,128.6532904,15.88369306,2320.91,11.82,0.0025,,,,1.843,0.0016,,-0.0328507448,-0.030984669
2013/1/24,23598.9,23585.1,23688.79,23547.79,1.43,-0.0015,-0.0015327945,0.0840497218,-0.2085344402,,,0.0501447859,-1.411230287,,,,1494.81,15.78722379,71.82937168,15.87133142,2302.6,16.1,-0.0079,,,,1.828,-0.0081,,-0.0380171387,-0.0386758625
2013/1/25,23580.43,23653.54,23666.39,23481.37,1.62,-0.0008,-0.00078297,0.0278774654,-1.785260262,,,0.3955682439,1.599842904,,,,1494.82,15.77476218,18.62787224,15.83887856,2291.3,9.26,-0.0049,,,,1.852,0.0131,,0.0261435651,-0.0183423662
2013/1/28,23671.88,23621.95,23736.02,23621.95,1.44,0.0039,0.0038707151,0.0396241356,-0.865684119,,,0.4309391118,1.142370233,,,,1502.96,15.75017299,36.95656413,15.81378159,2346.51,12.84,0.0241,,,,1.949,0.0524,-0.4685241499,0.019517027,-0.0039833643
2013/1/29,23655.17,23659.11,23707.11,23602.85,3.15,-0.0007,-0.0007061501,0.0350131187,-0.6901950087,,,0.4300257808,0.7677576525,,,,1500.18,15.76822115,-27.07548092,15.78313128,2358.98,14.19,0.0053,,,,1.965,0.0082,-0.6330206937,0.0525600969,0.0338633505
2013/1/30,23822.06,23767.33,23916.16,23765.57,1.96,0.0071,0.0070303464,0.0591062546,0.4393993169,,,0.3602700731,0.1669700729,,,,1507.84,15.79879828,-46.10542602,15.77583568,2382.47,14.99,0.01,,,,1.999,0.0173,-0.5991158715,0.0502878266,0.060259942
2013/1/31,23729.53,23799.17,23799.17,23667.94,1.83,-0.0039,-0.003891778,0.0685419411,1.316304553,,,0.2714607195,-1.606288399,,,,1501.96,15.79904258,-0.3669338922,15.77819944,2385.42,13.97,0.0012,,,,1.992,-0.0035,-0.0736843704,0.0608224979,0.0833318559
2013/2/1,23721.84,23763.34,23763.34,23571.3,1.63,-0.0003,-0.0003241213,0.0678197026,0.8745909939,0.0734633762,,0.2504566484,-1.150443863,,,,1498.11,15.83451148,-53.13631395,15.7901493,2419.02,14.08,0.0141,,,,1.985,-0.0035,0.7308353971,0.0824136971,0.0962123692
2013/2/4,23685.01,23866.8,23944.74,23637.18,2.74,-0.0016,-0.0015537842,0.0652247957,0.4348598361,0.0738939981,,0.2220823235,-0.9847760138,,,,1513.17,15.65257704,275.297743,15.77063011,2428.15,16.76,0.0038,,,,2.025,0.0202,1.005171957,0.111069724,0.1171533572
