Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_S&P_TSX Canadian MidCap,Change %_S&P_TSX Canadian MidCap,local risk covarience_S&P_TSX Canadian MidCap,向量寬度_S&P_TSX Canadian MidCap,Price_USD_CAD,Change %_USD_CAD,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
"May 12, 2017",15537.88,-0.0008,0.07626044846445576,-1.695799584971876,0.09633340787953176,1.2415720664151655,0.40822197731149534,0.9595160807173233,0.1633705061646154,1.0393114418502964,-0.07979536113297314,2390.9,-0.0015,6.498757789953573,-10.320322163010132,976.37,-0.0027,2.8299643656525135,-0.007640903787261787,1.371,0.0009,113.34,-0.0046,2.326,-0.027999999999999997,0.578742244024586,0.047016698343804536,0.003408249784147485
"May 15, 2017",15629.47,0.0059,0.08250469077573658,-0.9410374057970582,0.09226249337737708,0.7672380912163992,0.46099423415242996,1.011184352170708,0.1640517963323677,1.1508044584573662,-0.13962010628665822,2402.32,0.0048,6.505990042958473,-17.37418603873084,981.7,0.0055000000000000005,0.9488845879596653,0.00521886523377816,1.3632,-0.005699999999999999,113.78,0.0039000000000000003,2.343,0.008199999999999999,0.6089393783541002,0.05811736843545806,0.030789729566554708
"May 16, 2017",15543.33,-0.0055000000000000005,0.08327991354462319,-0.6024523441471435,0.09323792316321451,0.7813261040837071,0.41067446047288186,0.5241928283949587,0.16477615824552444,1.2275604957238577,-0.703367667328899,2400.67,-0.0007000000000000001,6.474580013079682,75.4051164291177,981.5,-0.0002,-0.1066342725028679,2.132685450057358e-05,1.3606,-0.0019,113.12,-0.0058,2.326,-0.0073,0.3524834193512369,0.07414381141057902,0.05855833351887585
"May 17, 2017",15273.68,-0.0173,0.13453118597559421,1.3990299496172345,0.1104722646783251,2.062012834981245,0.4064240876286542,0.325847070198666,0.18046837436117244,1.5900911863559792,-1.2642441161573132,2357.03,-0.0182,6.48005328739982,-12.90067177079618,968.05,-0.0137,-62.999621231692856,0.8630948108741922,1.3603,-0.0002,110.82,-0.0203,2.223,-0.0443,0.3123425798885688,0.014832224420433415,0.05065062431189027
"May 18, 2017",15277.2,0.0002,0.13834066647229915,1.1521371345914906,0.10859648002437386,1.6689332219556368,0.4871638008823526,1.412179037174251,0.18847638297643957,1.6433223901709841,-0.23114335299673305,2365.72,0.0037,6.457738024787381,52.79166306750085,964.66,-0.0034999999999999996,0.0,0.0,1.3603,0.0,111.5,0.0060999999999999995,2.228,0.0022,-0.4055635830484768,0.0021598396892933136,0.037517125115050565
"May 19, 2017",15458.46,0.011899999999999999,0.17772927727304783,1.3424760190675211,0.11802091027931415,2.0961136568367733,0.6438854483264737,1.674304951028389,0.20390490366741706,1.7457864852288068,-0.0714815342004178,2381.73,0.0068000000000000005,6.490433424443577,-77.87161422314966,977.09,0.0129,1.9316590274192813,0.02491840145370873,1.3514,-0.006500000000000001,111.28,-0.002,2.235,0.0031,-0.5983680944026483,-0.06671147886870535,-0.012259348403917819
"May 24, 2017",15419.49,-0.0037,0.16728824226466102,0.5031957440009992,0.1154494339071167,1.5104518146413828,0.31119968619370714,-1.3101996022507036,0.212466467264469,1.4849950406307577,-2.7951946428814614,2404.39,0.0025,6.413056949995633,95.97425004794786,974.48,-0.0013,-0.16095589636195146,0.00020924266527053687,1.3408,-0.0078000000000000005,111.5,-0.0025,2.252,-0.0131,-0.06515253179401415,-0.11263891921017047,-0.10277440190071166
"May 25, 2017",15410.73,-0.0006,0.09422961317972134,-1.6115396663570067,0.11387965808833381,1.2745900136898312,0.543096714207828,0.21926808445561238,0.20792952466437964,1.2578669147548462,-1.038598830299234,2415.07,0.0044,6.381069699843068,77.25144822595576,970.9,-0.0037,0.6542047259460868,-0.0024205574860005213,1.3484,0.005699999999999999,111.83,0.003,2.255,0.0013,-0.3220301554155609,-0.04507915915373058,-0.10021295637003687
"May 26, 2017",15416.93,0.0004,0.09402614530012338,-1.0931538173656452,0.10954572801490622,0.8552662265312185,0.6748891101698951,0.8485523613112466,0.20236624781161555,1.0451395267058,-0.19658716539455334,2415.82,0.0003,6.381655090197117,-1.4141977251183562,970.8,-0.0001,-0.03743638570586233,3.743638570586233e-06,1.3447,-0.0027,111.34,-0.0044,2.25,-0.0022,-0.6103756320201138,-0.04982837688538959,-0.09630273774685867
"May 30, 2017",15372.35,-0.0032,0.03103862110339173,-0.9242904686252233,0.10815811671125908,0.5958012457261272,0.8989473044027781,0.8884158009353303,0.18083459414006361,0.45885375804296574,0.4295620428923646,2412.91,-0.0012,6.370875830428819,26.00938368752395,965.09,-0.0060999999999999995,13.877151353755945,-0.08465062325791126,1.346,0.0004,110.85,-0.0037,2.208,-0.015600000000000001,-1.374205461803286,0.029046797890757165,-0.023294253072790268
