Date,PX_Last,VOLATILITY_10D,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,PX_LAST,v1,v2,v3,v4
2014年2月5日 星期三,21269.38,19.19,-0.006018231,0.197733133,0.74,0.165921651,2.08,0.437316464,1.1,0.725238366,2.28,21447,-0.23,-0.9212,-0.0169131664,0.0035306748
2014年2月6日 星期四,21423.13,20.3,0.0072027,0.215100249,0.97,0.169354738,1.98,0.376596159,0.38,0.779241335,3.05,21197,-0.61,-1.4331,-0.0479822376,-0.0249818594
2014年2月7日 星期五,21636.85,21.94,0.0099267,0.220611149,0.8,0.166569374,1.58,0.35878705,-0.13,0.818146776,2.88,21332,-0.96,-1.4686,-0.068716729,-0.050546792
2014年2月10日 星期一,21579.26,21.55,-0.002665211,0.220934698,0.73,0.165005916,1.33,0.137755394,-1.93,0.854450174,2.64,21527,-2.12,-1.6268,-0.0876502872,-0.0812992524
2014年2月11日 星期二,21962.98,21.77,0.01762564,0.136272878,-1.93,0.179431456,1.85,0.508970823,1.16,0.851598675,2.16,21514,-0.77,1.1868,-0.0083338768,-0.0701914202
2014年2月12日 星期三,22285.79,23.13,0.014590947,0.111180859,-1.47,0.188498806,1.99,0.751376394,1.61,0.850415884,1.85,21902,-0.03,0.6925,0.0111574452,-0.0584816624
2014年2月13日 星期四,22165.53,23.03,-0.005410876,0.146590473,-0.45,0.188778133,1.75,0.719082567,0.98,0.846240324,1.59,22258,0.4,-0.2024,-0.0294811778,-0.0500087162
2014年2月14日 星期五,22298.41,23.01,0.005976996,0.144493192,-0.2,0.189315633,1.58,0.583314041,0.2,0.818372656,1.16,22160,0.55,-0.279,-0.0315166312,-0.0389178592
2014年2月17日 星期一,22535.94,13.92,0.010595993,0.127884652,-0.42,0.193295949,1.57,0.204447807,-1.78,0.747604326,0.34,22324,-0.09,0.1179,-0.0168885336,-0.0222882924
2014年2月18日 星期二,22587.72,12.25,0.002295028,0.10954583,-1.17,0.191772254,1.36,0.250099397,-1.09,0.689580484,-0.32,22529,-0.03,1.135,0.0024659258,-0.0159272454
2014年2月19日 星期三,22664.52,12.37,0.00339431,0.083177374,-1.65,0.190192839,1.18,0.376128336,-0.26,0.701262899,-0.23,22581,-1.08,2.0038,0.0362441872,-0.002916743
2014年2月20日 星期四,22394.08,15.48,-0.012004068,0.120445428,0.16,0.193329298,1.22,0.324220816,-0.18,0.674043897,-0.57,22636,0.24,0.5309,0.0028307246,0.0061668574
2014年2月21日 星期五,22568.24,15.07,0.00774697,0.12382952,0.67,0.19570556,1.26,0.255533559,-0.44,0.639243242,-0.99,22374,0.86,0.1008,0.002108571,0.0129615302
2014年2月24日 星期一,22388.56,14.35,-0.007993494,0.11798244,0.48,0.190425958,0.92,0.233174874,-1.01,0.647327482,-0.92,22581,2.27,0.5449,0.0177296682,0.0247159898
2014年2月25日 星期二,22317.2,12.39,-0.003192433,0.114624017,0.18,0.185568374,0.58,0.233811715,-0.9,0.65417222,-0.87,22378,2.46,1.0329,0.031451681,0.0340639422
2014年2月26日 星期三,22437.44,12.16,0.005373311,0.120226401,0.26,0.168869657,-0.56,0.048261463,-1.86,0.662400729,-0.78,22342,1.57,1.0822,0.0357168016,0.0365216414
2014年2月27日 星期四,22828.18,14.79,0.017264746,0.139718385,1.88,0.178198009,-0.03,0.138906401,-0.55,0.662642132,-0.79,22412,2.67,-1.2175,0.0130354078,0.0294776402
2014年2月28日 星期五,22836.96,13.99,0.000384538,0.137139212,1.08,0.176704742,-0.25,0.164863576,0.02,0.660273125,-0.85,22660,3.71,-0.8798,0.012833855,0.024034976
2014年3月3日 星期一,22500.67,16.48,-0.01483519,0.166852526,1.7,0.184882648,0.33,0.290319295,1.39,0.662175699,-0.88,22807,3.3,-1.9013,-0.0225277324,0.0086126854
2014年3月4日 星期二,22657.63,16.85,0.006951574,0.166441966,1.13,0.146646166,-2.67,0.287054282,1.09,0.615794661,-1.37,22422,2.04,-1.6983,-0.031000466,-0.010634198
2014年3月5日 星期三,22579.78,15.44,-0.003441845,0.169563924,0.95,0.144851453,-2.37,0.228018523,0.1,0.593300648,-1.47,22629,0.07,-1.3852,-0.038435061,-0.0248143396
2014年3月6日 星期四,22702.97,15.16,0.005440937,0.123771336,-1.55,0.144305742,-2.07,0.297198498,0.86,0.538202885,-1.81,22532,0.71,1.2028,0.006039948,-0.0229425088
2014年3月7日 星期五,22660.49,14.36,-0.001872874,0.123235583,-1.24,0.142756707,-1.91,0.343518349,1.48,0.453333093,-2.24,22626,1.63,0.8596,0.0028562656,-0.0238812184
2014年3月10日 星期一,22264.93,17.57,-0.017610085,0.138611159,-0.28,0.158639555,-0.99,0.319549391,0.63,0.329792517,-2.66,22591,2.41,-0.297,-0.0217540476,-0.0274676822
2014年3月11日 星期二,22269.61,17.25,0.000210174,0.122025498,-0.74,0.146860837,-1.46,0.287460363,-0.2,0.330648179,-2.24,22185,2.2,0.3011,-0.0066256532,-0.0200416552
2014年3月12日 星期三,21901.95,15.19,-0.016647295,0.148000739,1.62,0.149490456,-1.19,0.164965589,-1.9,0.328258936,-1.97,22225,0.26,-2.6907,-0.0458023438,-0.0289304678
2014年3月13日 星期四,21756.08,14.91,-0.006682415,0.117183441,-1.09,0.150069894,-1.05,0.183982026,-1.05,0.327791123,-1.76,21906,0.7,0.5276,-0.0130294424,-0.0256572854
2014年3月14日 星期五,21539.49,14.12,-0.010005264,0.104638406,-1.39,0.151030605,-0.91,0.245195919,0.08,0.335626202,-1.55,21751,2.57,1.4288,0.010361353,-0.0110920896
2014年3月17日 星期一,21473.95,12.31,-3.05E-03,0.092437473,-1.31,0.143854972,-1.14,0.296335843,1.14,0.358404391,-1.26,21505,1.96,1.926,0.0441189378,0.0196992994
2014年3月18日 星期二,21583.5,13.66,0.005088561,0.114739165,-0.04,0.145401156,-0.97,0.293529489,1.04,0.355662592,-1.16,21393,1.06,0.8827,0.040183547,0.0395228672
2014年3月19日 星期三,21568.69,12.48,-0.000686408,0.081993491,-1.51,0.144006094,-0.94,0.211945776,-0.77,0.357528994,-1.04,21555,-0.8,2.8389,0.0982485212,0.078043617
2014年3月20日 星期四,21182.16,13.84,-0.018083408,0.126961458,1.44,0.150796699,-0.51,0.252082556,-0.24,0.35669387,-0.94,21533,-1.83,-0.6978,0.056334125,0.0791415844
2014年3月21日 星期五,21436.7,15.79,0.011945088,0.158867208,1.62,0.155351881,-0.16,0.42984308,1.81,0.37240511,-0.75,21150,-1.55,-1.4581,0.0205620594,0.0644295084
2014年3月24日 星期一,21846.45,20.11,0.018934031,0.200220732,1.58,0.171457937,1,0.638782189,1.76,0.443043939,-0.19,21434,-0.23,-2.0312,-0.0422349752,0.021429346
2014年3月25日 星期二,21732.32,18.29,-0.005237884,0.206570671,1.11,0.171922246,1.17,0.738991482,1.37,0.504049797,0.32,21811,-0.31,-1.9958,-0.0724968754,-0.0208489164
2014年3月26日 星期三,21887.75,18.37,0.007126566,0.208589992,0.88,0.172938266,1.21,0.51152656,-0.02,0.555014476,0.78,21739,-2.67,-2.1106,-0.0984567194,-0.0701087396
2014年3月27日 星期四,21834.45,17.36,-0.002438122,0.142229312,-1.5,0.158516552,0.24,0.434809794,-0.96,0.554930844,0.87,21875,-2.89,0.3554,-0.0462259498,-0.0872922208
2014年3月28日 星期五,22065.53,17.73,0.010527665,0.13953563,-1.26,0.164699835,0.82,0.501726254,-0.58,0.554700843,0.97,21835,-3.2,0.306,-0.055010413,-0.0949040504
2014年3月31日 星期一,22151.06,17.7,0.003868689,0.093003179,-1.47,0.158196141,0.47,0.700376761,1.03,0.572611382,1.25,22077,-2.39,1.1376,-0.0063590484,-0.0713416262
2014年4月1日 星期二,22448.54,18.37,0.013340228,0.087010865,-1.08,0.163862879,0.96,0.693798545,1.16,0.590202039,1.46,22140,-2.11,0.9291,-0.0008205762,-0.0478835068
2014年4月2日 星期三,22523.94,12.51,0.003353165,0.088887377,-0.84,0.163999956,0.88,0.399970081,-1.15,0.596569431,1.52,22413,-1.27,1.1032,0.000476885,-0.0207690106
2014年4月3日 星期四,22565.08,12.34,0.001824835,0.07157976,-1.06,0.162871008,0.68,0.364220442,-1.18,0.630801416,1.7,22514,0.49,1.8704,0.029235823,0.0048122208
2014年4月4日 星期五,22510.08,10.02,-0.00244037,0.082144904,-0.32,0.162955918,0.61,0.116725348,-1.53,0.650677997,1.66,22554,0.61,1.5059,0.0320292278,0.0296489148
2014年4月7日 星期一,22377.15,10.22,-0.00592286,0.103597747,1.63,0.151391713,-0.61,0.164937595,-0.89,0.653574627,1.5,22530,0.17,-0.6862,0.0157140098,0.0326676262
