Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2014年6月19日,115.06,15.41,11.90168929,-26.00%,33.24784137,13.00%,123.4279601,132.00%,119.5781691,46.00%
2014年6月20日,114.81,15.52,12.73788554,-16.00%,36.20342172,33.00%,109.163736,101.00%,119.5023268,45.00%
2014年6月23日,114.12,15.88,8.941167709,-63.00%,37.77779962,44.00%,74.30347539,26.00%,117.9979593,42.00%
2014年6月24日,114.46,15.9,5.519582593,-106.00%,39.25998972,53.00%,42.88159183,-41.00%,116.2942935,38.00%
2014年6月25日,114,8.19,6.37040658,-95.00%,39.84832332,57.00%,45.66718181,-35.00%,114.9336039,35.00%
2014年6月26日,113.21,9.03,8.501980946,-69.00%,39.75979577,57.00%,39.86718139,-48.00%,112.6892919,30.00%
2014年6月27日,113.3,8.71,7.693750191,-79.00%,39.11186285,52.00%,20.41801976,-90.00%,111.0262705,27.00%
2014年6月30日,112.36,9.43,11.42417647,-32.00%,37.3474098,41.00%,32.40170474,-64.00%,109.9599287,24.00%
2014年7月1日,112.29,8.06,10.14648077,-48.00%,35.24802592,27.00%,28.31818055,-73.00%,109.1817485,23.00%
2014年7月2日,111.24,6.9,11.86538495,-27.00%,32.41038035,8.00%,25.66091225,-78.00%,108.657717,22.00%
2014年7月3日,111,6.9,13.23229504,-10.00%,29.96710196,-8.00%,29.69029905,-70.00%,105.9976129,16.00%
2014年7月4日,110.64,6.76,11.04555512,-37.00%,27.16224882,-27.00%,16.14131628,-99.00%,100.2910166,3.00%
2014年7月7日,110.24,5.55,10.98736147,-38.00%,26.8500524,-29.00%,16.53655352,-98.00%,99.53284715,1.00%
2014年7月8日,108.94,6.91,12.85674422,-15.00%,27.81250116,-23.00%,14.56143731,-102.00%,98.84217478,0.00%
2014年7月9日,108.28,6.85,16.47770858,31.00%,30.45682247,-5.00%,31.75493247,-65.00%,98.60910149,-1.00%
2014年7月10日,108.67,7.72,14.60371898,7.00%,33.34638761,14.00%,33.57663677,-61.00%,91.35032022,-17.00%
2014年7月11日,106.66,10.74,18.33114595,54.00%,38.64464303,49.00%,41.10496801,-45.00%,79.27469056,-43.00%
2014年7月14日,106.98,11.46,14.5539372,7.00%,42.32985027,74.00%,29.7534697,-70.00%,60.98557766,-84.00%
2014年7月15日,106.02,11.42,15.85112337,23.00%,46.28384067,100.00%,22.13188572,-86.00%,53.47154437,-100.00%
2014年7月16日,105.85,11.47,15.95892628,24.00%,48.77556564,117.00%,21.76657192,-87.00%,53.39152128,-100.00%
2014年7月17日,107.89,17.47,11.61987952,-30.00%,47.29522678,107.00%,34.79293717,-59.00%,53.40363854,-100.00%
2014年7月18日,107.24,17.56,12.14149777,-23.00%,45.85905222,97.00%,29.00021655,-71.00%,53.33061008,-101.00%
2014年7月21日,107.68,17.04,13.42221323,-7.00%,44.16738836,86.00%,28.85000364,-72.00%,52.43755374,-103.00%
2014年7月22日,107.33,16.85,11.33106315,-34.00%,41.4599671,68.00%,26.85110383,-76.00%,46.75301185,-115.00%
2014年7月23日,108.03,17.18,4.87799631,-114.00%,38.13068946,46.00%,47.42531575,-32.00%,49.39687442,-109.00%
