Date,PX_Last,VOLATILITY_10D,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD
2016年7月22日,223.4,19.14,18.14144426,-99.00%,80.59404118,-20.00%,15.15409796,-133.00%,294.5678262,-3.00%
2016年7月25日,221.6,12.81,26.54605055,-63.00%,74.61928582,-35.00%,53.71990088,-105.00%,298.3514596,0.00%
2016年7月26日,222.5,10.98,24.37861358,-72.00%,69.28410105,-49.00%,54.67969033,-104.00%,301.0894709,3.00%
2016年7月27日,218.5,14.32,36.93544639,-17.00%,68.53651197,-51.00%,105.7918335,-66.00%,301.0438877,3.00%
2016年7月28日,220.9,16.01,26.47570962,-63.00%,68.07665436,-52.00%,96.1074966,-74.00%,303.622165,5.00%
2016年7月29日,222.15,16.38,22.57084846,-80.00%,68.13712123,-52.00%,79.35857444,-86.00%,303.4394619,4.00%
2016年8月1日,219.95,15,23.26035253,-77.00%,68.13372687,-52.00%,83.72403999,-83.00%,303.5256921,5.00%
2016年8月2日,220.9,15.48,19.23765058,-95.00%,67.47814558,-53.00%,96.38907324,-73.00%,306.2533942,7.00%
2016年8月3日,219.85,15.34,13.19590846,-121.00%,64.23137391,-62.00%,71.5432927,-92.00%,315.8394693,14.00%
2016年8月4日,217.4,15.57,24.80185477,-70.00%,57.07908364,-80.00%,65.56497793,-96.00%,311.1241898,11.00%
2016年8月5日,215.4,15.7,31.990186,-39.00%,50.26381271,-98.00%,98.66470993,-72.00%,297.8230084,0.00%
2016年8月8日,216.5,15.87,32.68915416,-36.00%,47.36484289,-105.00%,118.5098843,-57.00%,297.4591304,0.00%
2016年8月9日,215,13.34,27.44775401,-59.00%,52.80842561,-91.00%,111.8224262,-62.00%,287.8840978,-8.00%
2016年8月10日,217.1,12.98,14.87128777,-114.00%,53.89111171,-89.00%,102.2295433,-69.00%,237.763304,-47.00%
2016年8月11日,219.1,13.76,23.01310931,-78.00%,52.90691254,-91.00%,104.2153471,-68.00%,147.0915966,-119.00%
2016年8月12日,214,17.81,27.94274145,-57.00%,57.12060371,-80.00%,95.28063902,-74.00%,97.10626638,-159.00%
2016年8月15日,215.15,17.96,28.85320086,-53.00%,58.53735042,-77.00%,82.29898518,-84.00%,95.91833827,-160.00%
2016年8月16日,217.2,19.09,28.11356968,-56.00%,54.1526614,-88.00%,83.62909479,-83.00%,93.7876279,-161.00%
2016年8月17日,215.2,18.78,28.68677744,-53.00%,51.43954244,-95.00%,34.62363359,-119.00%,92.08777143,-163.00%
2016年8月18日,216.75,18.55,18.49499392,-98.00%,45.3097053,-111.00%,63.12043385,-98.00%,92.92378797,-162.00%
2016年8月19日,216.7,18.36,13.57247214,-119.00%,41.65140201,-120.00%,100.5097247,-70.00%,98.28958872,-158.00%
2016年8月22日,214,19.28,18.95392308,-96.00%,41.89872659,-119.00%,93.57255243,-75.00%,99.94391674,-156.00%
2016年8月23日,211.5,19.03,31.02481587,-43.00%,43.3954051,-116.00%,104.9735294,-67.00%,102.6401482,-154.00%
