Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_Shanghai Composite,Change %_Shanghai Composite,local risk covarience_Shanghai Composite,向量寬度_Shanghai Composite,Price_USD_CNH,Change %_USD_CNH,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
"Jan 21, 2015",24352.58,0.0168,0.22048828540310264,1.214808250467782,0.15327730906329265,-0.7231858969730189,0.8019713268826771,0.6072718343081521,0.3294678693609161,0.6779408169907529,-0.0706689826826008,2032.12,0.004699999999999999,11.983829695096748,-288.0914784801389,3323.61,0.047400000000000005,61.22609425607621,2.9021168677380125,6.2172,-0.0007000000000000001,117.95,-0.0072,1.875,0.046900000000000004,-0.6571170276507171,-0.07278008839571554,-0.011408649814081434
"Jan 22, 2015",24522.63,0.006999999999999999,0.21489885993182944,0.8726711188124359,0.1497080780438346,-0.8087892537466558,0.5478382484827405,-1.2993197150057076,0.322255281668179,0.7033803082444868,-2.0027000232501946,2063.15,0.015300000000000001,11.886014104645808,201.80823543885708,3343.34,0.0059,-8.344416062979862,-0.049232054771581185,6.2216,0.0007000000000000001,118.49,0.0046,1.872,-0.0016,-0.1377930426823069,-0.08179935385985068,-0.05168297978037678
"Jan 23, 2015",24850.45,0.0134,0.19864839289558828,0.05874639901761295,0.15306039674792268,-0.5686732315108174,0.32902081025999846,-1.5017083211243198,0.30894941303055096,0.6395504829299276,-2.1412588040542473,2051.82,-0.0055000000000000005,12.111418155588696,-462.4885398056358,3351.76,0.0025,-0.4704570975956286,-0.0011761427439890716,6.255,0.0054,117.78,-0.006,1.789,-0.0443,0.18707575796773812,-0.08812439856198548,-0.08690679937923798
"Jan 26, 2015",24909.9,0.0024,0.08880081080710903,-1.7047007038129383,0.1528093952057851,-0.5094873783500051,0.8520499605362588,0.8870435070048814,0.2982228620572038,0.5669118720338381,0.32013163497104336,2057.09,0.0026,12.109290308153751,4.3771736799499195,3383.18,0.009399999999999999,580.9000939957544,5.460460883560091,6.2549,-0.0,118.46,0.0058,1.828,0.0335,-0.04872130234864691,0.019141906699641262,-0.07235637341305619
"Jan 27, 2015",24807.28,-0.0040999999999999995,0.13312835911254967,-0.6593453254310272,0.14422104087676965,-0.9059568270888139,0.916449228194013,0.9255156284437631,0.2694239974165934,0.21303671229381138,0.7124789161499517,2029.55,-0.0134,12.22304451725752,-230.86985508655562,3352.96,-0.0089,-5.0244680925848675,0.04471776602400532,6.2437,-0.0018,117.87,-0.005,1.828,0.0,-0.47314437107430657,-0.034341563573202574,-0.07240614609068895
"Jan 28, 2015",24861.81,0.0022,0.10306456228985796,-0.7896522349432603,0.13502263669863862,-1.476051804273877,0.8974782811302638,0.7279564574469829,0.2273706451731084,-0.36610829515793575,1.0940647526049188,2002.16,-0.013500000000000002,12.417494106365126,-389.3191893276853,3305.74,-0.0141,5.768254592158977,-0.08133238974944157,6.2592,0.0025,117.55,-0.0027,1.719,-0.0596,-0.7507509802752366,-0.005299195344313265,-0.049942830061842414
"Jan 29, 2015",24595.85,-0.010700000000000001,0.14185540525478768,0.20583896829077986,0.14313348830264752,-0.8375982300995013,0.6752637346026887,-0.23930342877966881,0.21030235281471124,-0.6077462463671505,0.36844281758748165,2021.25,0.0095,12.168633271490414,503.0099624905124,3262.3,-0.0131,30.88220376217246,-0.4045568692844592,6.2619,0.0004,118.29,0.0063,1.756,0.0215,-1.2605293702608658,-0.06116453580586864,-0.05240863662305972
"Jan 30, 2015",24507.05,-0.0036,0.08577083420370855,-0.9648185837480628,0.1407247660842739,-0.9578401018300604,0.407272664331851,-1.6013104041095507,0.19083299167856976,-0.8947431781353908,-0.7065672259741599,1994.99,-0.013000000000000001,12.284297164396813,-230.74830970933908,3210.36,-0.0159,4.750313063559564,-0.07552997771059708,6.2833,0.0034000000000000002,117.45,-0.0070999999999999995,1.639,-0.0666,-1.0767622616016401,-0.011048741124027747,-0.03580190125392199
"Feb 02, 2015",24484.74,-0.0009,0.07589442667284643,-1.1112634722939483,0.13853165779173449,-1.0946110491510057,0.45781298281755206,-0.8951743956594014,0.17000470489856642,-1.2223002814609207,0.32712588580151936,2020.85,0.013000000000000001,12.116060073731353,339.98192467129775,3128.3,-0.0256,-10.40543818638936,0.26637921757156763,6.2675,-0.0025,117.59,0.0012,1.674,0.013000000000000001,-0.6366206806660584,-0.0005269540158977376,-0.03257524484980159
"Feb 03, 2015",24554.78,0.0029,0.08734874927553372,-0.44045382151833146,0.13168350094469905,-1.6083595700954467,0.4122415257179304,-0.7390871506431256,0.16402260806378594,-1.3315072895853544,0.5924201389422288,2050.03,0.0144,11.977766179031525,283.5066329514884,3204.91,0.0245,13.848132183061574,0.33927923848500857,6.2567,-0.0017000000000000001,117.57,-0.0002,1.798,0.0741,-0.24457205863342368,-0.014277786872340922,-0.02571583313615429
"Feb 04, 2015",24679.76,0.0051,0.09795741932084599,0.007427004236971411,0.13022179783576507,-1.6776284398200452,0.4104934971360873,-0.539391965418836,0.15154872080206644,-1.5084964871820656,0.9691045217632296,2041.51,-0.0042,12.08897335795563,-227.03056784535147,3174.13,-0.0096,-101.11051847271382,0.9706609773380526,6.2561,-0.0001,117.28,-0.0025,1.747,-0.028399999999999998,-0.20538640249626128,-0.028808587253357915,-0.028616534878056613
"Feb 05, 2015",24765.49,0.0034999999999999996,0.05648291777165933,-1.5487258533608415,0.12931266392983906,-1.8563463814603203,0.24813256555113009,-1.7281790924817773,0.12598129913308204,-1.8116881791050976,0.08350908662332035,2062.52,0.0103,12.007393867695829,168.2593302506466,3136.53,-0.0118,-5.4225547968939045,0.06398614660334807,6.2423,-0.0022,117.53,0.0021,1.817,0.0401,0.19131548608475368,0.01799654217336369,-0.006211409503896023
"Feb 06, 2015",24679.39,-0.0034999999999999996,0.05592695235751746,-1.0094808753865832,0.13058794495825782,-1.4974071026486535,0.29556142817424236,-0.7820769437986539,0.13205536763645584,-1.5859035521137446,0.8038266083150907,2055.47,-0.0034000000000000002,12.00668946761568,1.447873232744314,3075.91,-0.019299999999999998,22.38755868551708,-0.43207988263047964,6.2478,0.0009,118.98,0.0123,1.958,0.0776,0.40818416457506757,0.032495615678391376,0.013700474956228031
"Feb 09, 2015",24521.0,-0.0064,0.07912132455918593,0.20047231534349838,0.13309625049090137,-1.0803629394914487,0.29725077724180327,-0.47668439364577553,0.13294265919051618,-1.4227782317875541,0.9460938381417786,2046.74,-0.0042,11.980515356127304,53.571600947714614,3095.12,0.0062,-14.368150507896729,-0.08908253314895971,6.2505,0.0004,118.64,-0.0029,1.978,0.0191,0.636310350784236,0.015838069772606364,0.019591921674843596
"Feb 10, 2015",24528.1,0.0003,0.07586619800675423,0.15921930141763962,0.13063097601540286,-1.233137280908565,0.2786910203854622,-0.44344681956684046,0.13703735145602605,-1.2371577936098153,0.7937109740429749,2068.59,0.010700000000000001,11.857400451515282,254.6742605313848,3141.59,0.015,-14.690442919485285,-0.22035664379227926,6.2568,0.001,119.43,0.0067,2.004,0.0131,0.7776124835363872,0.026148122639929647,0.028943358243491077
"Feb 11, 2015",24315.02,-0.0087,0.07834676764232243,0.7743182599576999,0.13375431247351643,-0.7873912465459135,0.18856936248050027,-1.6108121075988435,0.13651829824774747,-1.1219356256293345,-0.48887648196950906,2068.53,-0.0,11.754734038181702,212.36855597290923,3157.7,0.0051,3.252146518422908,0.01658594724395683,6.247,-0.0016,120.47,0.0087,2.021,0.0085,1.5318127655020939,0.01993810902329307,0.029136044598127422
