Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_DAX Midcap,Change %_DAX Midcap,local risk covarience_DAX Midcap,向量寬度_DAX Midcap,Price_EUR_USD,Change %_EUR_USD,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
"Jun 18, 2012",6248.2,0.003,0.1081414074256489,0.37847751414108577,0.21214142378189724,0.6189096070654442,0.633437151659604,-1.1088986118683892,0.24833914108502758,-1.1452725601844012,0.03637394831601193,1344.78,0.0014000000000000002,4.6462618420856945,-9.790375770753599,10089.15,0.0043,-0.8653036246379487,-0.0037208055859431796,1.2576,-0.0049,79.12,0.0051,1.574,-0.0076,-0.3930633897688204,0.06937008765820069,0.08447239637495546
"Jun 19, 2012",6363.36,0.0184,0.1511416554097519,1.311838074272363,0.21426630552704853,0.6761126222971117,0.6804806322665159,-0.659862944210041,0.2395782139949691,-1.113190079770517,0.453327135560476,1357.98,0.0098,4.685901117836787,-53.82934368446786,10297.46,0.0206,2.291686216101577,0.047208736051692485,1.2688,0.0089,78.94,-0.0023,1.62,0.0292,0.25581875205719873,0.028534841239468506,0.08476842087076497
"Jun 20, 2012",6392.13,0.0045000000000000005,0.1368406518546305,0.651396896061301,0.19702701604762624,-0.4784705070402961,0.6771878239454934,-0.49890870149744354,0.2382073760404517,-1.0197836455707239,0.5208749440732803,1355.69,-0.0017000000000000001,4.715038098680377,-39.50071355984619,10403.71,0.0103,8.108886156957237,0.08352152741665954,1.2704,0.0013,79.52,0.0073,1.65,0.018500000000000003,0.6859119154113356,0.05895053861897118,0.08673836361999802
"Jun 21, 2012",6343.13,-0.0077,0.16427239573342867,1.2124197648060435,0.19874242865419656,-0.444911782807171,0.3982172765784407,-1.6826821085021841,0.224660987348688,-1.0531780529530588,-0.6295040555491254,1325.51,-0.0223,4.785425986978597,-93.29984981817415,10372.53,-0.003,0.23567172136401413,-0.0007070151640920424,1.2544,-0.0126,80.27,0.009399999999999999,1.62,-0.0182,1.020275272869763,0.04346025290927527,0.07387420343137138
"Jun 22, 2012",6263.25,-0.0126,0.19108648303844042,1.3202823529146324,0.20336743335000423,-0.21327313146187277,0.49044100941874424,-0.6793218021930276,0.20663179436033,-1.1412671781579826,0.461945375964955,1335.02,0.0072,4.6915027490224865,125.38940113616627,10175.72,-0.019,-9.350696106478791,0.17766322602309703,1.257,0.0021,80.42,0.0019,1.676,0.0346,1.3669017934372767,0.058896309368442645,0.09968627371450328
"Jun 25, 2012",6132.39,-0.0209,0.24421628938299791,1.5767902290274232,0.21582479736558244,0.6973318441262336,0.6715578028922305,0.670232329884501,0.17459004212964202,-1.387055285003634,2.0572876148881347,1313.72,-0.016,4.667958164601285,30.930991445820837,10024.61,-0.0148,2.899987054934727,-0.04291980841303396,1.2505,-0.0052,79.67,-0.009300000000000001,1.604,-0.043,1.114820644485728,0.022879714428168135,0.08958450872731646
"Jun 26, 2012",6136.69,0.0007000000000000001,0.16196666323660608,-0.43332177716917697,0.2104854231732474,0.10435935140952986,0.6487901246449448,0.5674922339287718,0.14798500032252818,-1.5910134189995881,2.15850565292836,1319.99,0.0048,4.6490427957787555,24.968097692050833,9963.21,-0.0060999999999999995,5.13145194503982,-0.0313018568647429,1.249,-0.0012,79.5,-0.0021,1.628,0.015,0.8289782994757099,0.13577255732518728,0.11806272391257294
"Jun 27, 2012",6228.99,0.015,0.21741412097653678,0.6132956370067627,0.20968612332672246,-0.09432838487197497,0.5596866497183467,0.052602329514285985,0.130313719055545,-1.701194558019128,1.7537968875334138,1331.85,0.009000000000000001,4.676945601982205,-37.16235244206473,10014.34,0.0051,-3.183390517997253,-0.01623529164178599,1.247,-0.0016,79.71,0.0026,1.621,-0.0043,0.6440330128673333,0.10378129360802596,0.12540422411096105
"Jun 28, 2012",6149.91,-0.0127,0.2239796865789399,0.5099424909894897,0.21414734646966788,0.37029688534894434,0.5057702311172781,-0.8465244268534933,0.10783460729230664,-1.8711198051031817,1.0245953782496884,1329.04,-0.0021,4.627332510684404,65.93778285843018,9941.27,-0.0073,3.0478694707348324,-0.022249447136364276,1.244,-0.0024,79.45,-0.0033,1.584,-0.022799999999999997,0.3463640047953526,0.11282249129171201,0.12906952922794798
"Jun 29, 2012",6416.28,0.0433,0.40233720185933614,1.6843011061323394,0.23014555851735036,2.2173111457308567,1.4359375900936826,1.7610323324412327,0.12632101972026405,-1.5259436940925317,3.2869760265337646,1362.16,0.024900000000000002,4.7103717624948604,-113.11274724613122,10343.71,0.0405,2.2389058400972797,0.09067568652393983,1.266,0.0177,79.81,0.0045000000000000005,1.643,0.037200000000000004,-0.6251327729300552,-0.10384340554752752,0.04851100390492555
